Datevalue,Date,t,Close
02.01.1920,1920-01-02,1920.003,108.76
03.01.1920,1920-01-03,1920.006,109.88
05.01.1920,1920-01-05,1920.011,108.85
06.01.1920,1920-01-06,1920.014,107.36
07.01.1920,1920-01-07,1920.017,107.55
08.01.1920,1920-01-08,1920.019,107.24
09.01.1920,1920-01-09,1920.022,106.59
10.01.1920,1920-01-10,1920.025,106.33
12.01.1920,1920-01-12,1920.031,104.22
13.01.1920,1920-01-13,1920.033,104.53
14.01.1920,1920-01-14,1920.036,102
15.01.1920,1920-01-15,1920.039,103.62
16.01.1920,1920-01-16,1920.042,101.94
17.01.1920,1920-01-17,1920.044,102.43
19.01.1920,1920-01-19,1920.05,102.72
20.01.1920,1920-01-20,1920.053,103.48
21.01.1920,1920-01-21,1920.056,102.62
22.01.1920,1920-01-22,1920.058,102.36
23.01.1920,1920-01-23,1920.061,101.9
24.01.1920,1920-01-24,1920.064,102.65
26.01.1920,1920-01-26,1920.069,103.74
27.01.1920,1920-01-27,1920.072,104.15
28.01.1920,1920-01-28,1920.075,103.96
29.01.1920,1920-01-29,1920.078,103.6
30.01.1920,1920-01-30,1920.081,104.21
31.01.1920,1920-01-31,1920.083,103.82
02.02.1920,1920-02-02,1920.086,103.01
03.02.1920,1920-02-03,1920.089,99.96
04.02.1920,1920-02-04,1920.092,97.23
05.02.1920,1920-02-05,1920.094,95.5
06.02.1920,1920-02-06,1920.097,95.75
07.02.1920,1920-02-07,1920.1,96.13
09.02.1920,1920-02-09,1920.106,95.73
10.02.1920,1920-02-10,1920.108,92.12
11.02.1920,1920-02-11,1920.111,90.66
13.02.1920,1920-02-13,1920.117,92.66
14.02.1920,1920-02-14,1920.119,94.21
16.02.1920,1920-02-16,1920.125,92.6
17.02.1920,1920-02-17,1920.128,93.56
18.02.1920,1920-02-18,1920.131,94.44
19.02.1920,1920-02-19,1920.133,94.15
20.02.1920,1920-02-20,1920.136,95.57
21.02.1920,1920-02-21,1920.139,95.63
24.02.1920,1920-02-24,1920.147,92.98
25.02.1920,1920-02-25,1920.15,89.98
26.02.1920,1920-02-26,1920.153,91.37
27.02.1920,1920-02-27,1920.156,91.18
28.02.1920,1920-02-28,1920.158,91.31
01.03.1920,1920-03-01,1920.167,92.4
02.03.1920,1920-03-02,1920.169,91.68
03.03.1920,1920-03-03,1920.172,91.95
04.03.1920,1920-03-04,1920.175,94.22
05.03.1920,1920-03-05,1920.178,94.58
06.03.1920,1920-03-06,1920.181,94.55
08.03.1920,1920-03-08,1920.186,97.38
09.03.1920,1920-03-09,1920.189,97.11
10.03.1920,1920-03-10,1920.192,99.46
11.03.1920,1920-03-11,1920.194,99.8
12.03.1920,1920-03-12,1920.197,98.55
13.03.1920,1920-03-13,1920.2,99.31
15.03.1920,1920-03-15,1920.206,100.55
16.03.1920,1920-03-16,1920.208,100.39
17.03.1920,1920-03-17,1920.211,102.11
18.03.1920,1920-03-18,1920.214,103.98
19.03.1920,1920-03-19,1920.217,103.66
20.03.1920,1920-03-20,1920.219,103.56
22.03.1920,1920-03-22,1920.225,104.17
23.03.1920,1920-03-23,1920.228,103.55
24.03.1920,1920-03-24,1920.231,100.33
25.03.1920,1920-03-25,1920.233,101.54
26.03.1920,1920-03-26,1920.236,103.63
27.03.1920,1920-03-27,1920.239,103.4
29.03.1920,1920-03-29,1920.244,102.23
30.03.1920,1920-03-30,1920.247,102.45
31.03.1920,1920-03-31,1920.25,102.81
01.04.1920,1920-04-01,1920.25,102.66
05.04.1920,1920-04-05,1920.261,102.98
06.04.1920,1920-04-06,1920.264,104.32
07.04.1920,1920-04-07,1920.267,105.45
08.04.1920,1920-04-08,1920.269,105.65
09.04.1920,1920-04-09,1920.272,105.38
10.04.1920,1920-04-10,1920.275,105.23
12.04.1920,1920-04-12,1920.281,103.94
13.04.1920,1920-04-13,1920.283,104.61
14.04.1920,1920-04-14,1920.286,105.18
15.04.1920,1920-04-15,1920.289,104.41
16.04.1920,1920-04-16,1920.292,104.73
17.04.1920,1920-04-17,1920.294,104.45
19.04.1920,1920-04-19,1920.3,101.87
20.04.1920,1920-04-20,1920.303,99.48
21.04.1920,1920-04-21,1920.306,95.93
22.04.1920,1920-04-22,1920.308,97.15
23.04.1920,1920-04-23,1920.311,95.46
24.04.1920,1920-04-24,1920.314,95.76
26.04.1920,1920-04-26,1920.319,97.2
27.04.1920,1920-04-27,1920.322,96.41
28.04.1920,1920-04-28,1920.325,94.75
29.04.1920,1920-04-29,1920.328,93.16
30.04.1920,1920-04-30,1920.331,93.54
03.05.1920,1920-05-03,1920.339,94.03
04.05.1920,1920-05-04,1920.342,94.27
05.05.1920,1920-05-05,1920.344,94.41
06.05.1920,1920-05-06,1920.347,94.17
07.05.1920,1920-05-07,1920.35,93.45
08.05.1920,1920-05-08,1920.353,94.75
10.05.1920,1920-05-10,1920.358,93.33
11.05.1920,1920-05-11,1920.361,92.52
12.05.1920,1920-05-12,1920.364,91.29
13.05.1920,1920-05-13,1920.367,90.8
14.05.1920,1920-05-14,1920.369,91.35
15.05.1920,1920-05-15,1920.372,91.9
17.05.1920,1920-05-17,1920.378,91.24
18.05.1920,1920-05-18,1920.381,91.21
19.05.1920,1920-05-19,1920.383,87.36
20.05.1920,1920-05-20,1920.386,88.16
21.05.1920,1920-05-21,1920.389,88.2
22.05.1920,1920-05-22,1920.392,88.4
24.05.1920,1920-05-24,1920.397,87.57
25.05.1920,1920-05-25,1920.4,90.24
26.05.1920,1920-05-26,1920.403,90.01
27.05.1920,1920-05-27,1920.406,91.01
28.05.1920,1920-05-28,1920.408,91.81
29.05.1920,1920-05-29,1920.411,92.06
01.06.1920,1920-06-01,1920.417,90.2
02.06.1920,1920-06-02,1920.419,90.65
03.06.1920,1920-06-03,1920.422,90.9
04.06.1920,1920-06-04,1920.425,91.9
05.06.1920,1920-06-05,1920.428,92.25
07.06.1920,1920-06-07,1920.433,91.13
08.06.1920,1920-06-08,1920.436,91.46
09.06.1920,1920-06-09,1920.439,92.2
10.06.1920,1920-06-10,1920.442,91.92
11.06.1920,1920-06-11,1920.444,93.06
12.06.1920,1920-06-12,1920.447,93.2
14.06.1920,1920-06-14,1920.453,91.75
15.06.1920,1920-06-15,1920.456,91.68
16.06.1920,1920-06-16,1920.458,91.75
17.06.1920,1920-06-17,1920.461,91.37
18.06.1920,1920-06-18,1920.464,92
19.06.1920,1920-06-19,1920.467,91.92
21.06.1920,1920-06-21,1920.472,91.32
22.06.1920,1920-06-22,1920.475,90.16
23.06.1920,1920-06-23,1920.478,90.83
24.06.1920,1920-06-24,1920.481,90.88
25.06.1920,1920-06-25,1920.483,90.95
26.06.1920,1920-06-26,1920.486,90.88
28.06.1920,1920-06-28,1920.492,90.45
29.06.1920,1920-06-29,1920.494,90.36
30.06.1920,1920-06-30,1920.497,90.76
01.07.1920,1920-07-01,1920.5,91.26
02.07.1920,1920-07-02,1920.503,92.2
06.07.1920,1920-07-06,1920.514,93
07.07.1920,1920-07-07,1920.517,94.04
08.07.1920,1920-07-08,1920.519,94.51
09.07.1920,1920-07-09,1920.522,94.43
10.07.1920,1920-07-10,1920.525,94.2
12.07.1920,1920-07-12,1920.531,92.08
13.07.1920,1920-07-13,1920.533,91.58
14.07.1920,1920-07-14,1920.536,91.2
15.07.1920,1920-07-15,1920.539,90.26
16.07.1920,1920-07-16,1920.542,89.95
17.07.1920,1920-07-17,1920.544,90.24
19.07.1920,1920-07-19,1920.55,90.21
20.07.1920,1920-07-20,1920.553,90.68
21.07.1920,1920-07-21,1920.556,90.45
22.07.1920,1920-07-22,1920.558,90.74
23.07.1920,1920-07-23,1920.561,89.63
24.07.1920,1920-07-24,1920.564,89.85
26.07.1920,1920-07-26,1920.569,87.66
27.07.1920,1920-07-27,1920.572,87.68
28.07.1920,1920-07-28,1920.575,86.96
29.07.1920,1920-07-29,1920.578,87.89
30.07.1920,1920-07-30,1920.581,86.86
31.07.1920,1920-07-31,1920.583,86.85
02.08.1920,1920-08-02,1920.586,84.95
03.08.1920,1920-08-03,1920.589,85.54
04.08.1920,1920-08-04,1920.592,85.58
05.08.1920,1920-08-05,1920.594,84.06
06.08.1920,1920-08-06,1920.597,84.56
07.08.1920,1920-08-07,1920.6,84.1
09.08.1920,1920-08-09,1920.606,83.24
10.08.1920,1920-08-10,1920.608,83.2
11.08.1920,1920-08-11,1920.611,84.83
12.08.1920,1920-08-12,1920.614,84.75
13.08.1920,1920-08-13,1920.617,85.89
14.08.1920,1920-08-14,1920.619,85.57
16.08.1920,1920-08-16,1920.625,85.07
17.08.1920,1920-08-17,1920.628,83.9
18.08.1920,1920-08-18,1920.631,84.01
19.08.1920,1920-08-19,1920.633,85.31
20.08.1920,1920-08-20,1920.636,86.22
21.08.1920,1920-08-21,1920.639,86.86
23.08.1920,1920-08-23,1920.644,85.78
24.08.1920,1920-08-24,1920.647,87.29
25.08.1920,1920-08-25,1920.65,86.93
26.08.1920,1920-08-26,1920.653,87.22
27.08.1920,1920-08-27,1920.656,86.81
28.08.1920,1920-08-28,1920.658,86.6
30.08.1920,1920-08-30,1920.664,86.43
31.08.1920,1920-08-31,1920.667,86.16
01.09.1920,1920-09-01,1920.667,86.34
02.09.1920,1920-09-02,1920.669,87.22
03.09.1920,1920-09-03,1920.672,88.05
07.09.1920,1920-09-07,1920.683,88.21
08.09.1920,1920-09-08,1920.686,87.13
09.09.1920,1920-09-09,1920.689,88.33
10.09.1920,1920-09-10,1920.692,87.98
11.09.1920,1920-09-11,1920.694,86.98
13.09.1920,1920-09-13,1920.7,86.96
14.09.1920,1920-09-14,1920.703,87.64
15.09.1920,1920-09-15,1920.706,87.82
16.09.1920,1920-09-16,1920.708,88.63
17.09.1920,1920-09-17,1920.711,89.95
18.09.1920,1920-09-18,1920.714,89.81
20.09.1920,1920-09-20,1920.719,88.88
21.09.1920,1920-09-21,1920.722,87.96
22.09.1920,1920-09-22,1920.725,87.45
23.09.1920,1920-09-23,1920.728,86.47
24.09.1920,1920-09-24,1920.731,85.9
25.09.1920,1920-09-25,1920.733,86.35
27.09.1920,1920-09-27,1920.739,83.82
28.09.1920,1920-09-28,1920.742,84.53
29.09.1920,1920-09-29,1920.744,83.83
30.09.1920,1920-09-30,1920.747,82.95
01.10.1920,1920-10-01,1920.75,84
02.10.1920,1920-10-02,1920.753,84.5
04.10.1920,1920-10-04,1920.758,85.25
05.10.1920,1920-10-05,1920.761,85.56
06.10.1920,1920-10-06,1920.764,85.6
07.10.1920,1920-10-07,1920.767,85.23
08.10.1920,1920-10-08,1920.769,84.4
09.10.1920,1920-10-09,1920.772,84.42
11.10.1920,1920-10-11,1920.778,84
13.10.1920,1920-10-13,1920.783,84.39
14.10.1920,1920-10-14,1920.786,85.22
15.10.1920,1920-10-15,1920.789,85.4
16.10.1920,1920-10-16,1920.792,84.96
18.10.1920,1920-10-18,1920.797,84.31
19.10.1920,1920-10-19,1920.8,84.6
20.10.1920,1920-10-20,1920.803,85.26
21.10.1920,1920-10-21,1920.806,84.65
22.10.1920,1920-10-22,1920.808,85.06
23.10.1920,1920-10-23,1920.811,85.57
25.10.1920,1920-10-25,1920.817,85.73
26.10.1920,1920-10-26,1920.819,85.61
27.10.1920,1920-10-27,1920.822,84.92
28.10.1920,1920-10-28,1920.825,84.61
29.10.1920,1920-10-29,1920.828,85.08
30.10.1920,1920-10-30,1920.831,84.95
01.11.1920,1920-11-01,1920.833,85.48
03.11.1920,1920-11-03,1920.839,84.99
04.11.1920,1920-11-04,1920.842,84.45
05.11.1920,1920-11-05,1920.844,83.48
06.11.1920,1920-11-06,1920.847,82.86
08.11.1920,1920-11-08,1920.853,81.51
09.11.1920,1920-11-09,1920.856,79.94
10.11.1920,1920-11-10,1920.858,80.62
11.11.1920,1920-11-11,1920.861,79.95
12.11.1920,1920-11-12,1920.864,77.56
13.11.1920,1920-11-13,1920.867,76.9
15.11.1920,1920-11-15,1920.872,76.63
16.11.1920,1920-11-16,1920.875,76.65
17.11.1920,1920-11-17,1920.878,75.21
18.11.1920,1920-11-18,1920.881,74.36
19.11.1920,1920-11-19,1920.883,73.12
20.11.1920,1920-11-20,1920.886,74.03
22.11.1920,1920-11-22,1920.892,77.15
