Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2013-11-20,645.71675,645.0,575.6,600.0,3683.4525808,2242031.9831337,608.67676017341
2013-11-19,785.50007,900.97998,502.6212,645.71675,98637.13462284,68768815.229371,697.18991222041
2013-11-18,528.31991,788.0,522.0,785.50007,71436.41688087,45079283.976586,631.04066448017
2013-11-17,461.9999,536.777,457.0,528.31991,26509.66401991,13242526.686748,499.53581745897
2013-11-16,434.0,477.0,428.01172,461.9999,18664.14097413,8527635.053573,456.89941291126
2013-11-15,433.4,458.0,413.05,434.0,27269.09083795,11898612.602568,436.34064198461
2013-11-14,434.87999,447.49999,402.54,433.4,30773.27927015,13184591.725817,428.44285817161
2013-11-13,380.1,445.0,372.183,434.87999,35274.27162935,14480339.539164,410.50711666901
2013-11-12,363.0,391.52574,359.02,380.1,21029.65320146,7937468.7475413,377.44173294262
2013-11-11,336.33101,376.0,321.41,363.0,17785.25134553,6255033.5100487,351.69778534622
2013-11-10,367.8,372.5,290.0,336.33101,74095.67956866,24174067.082833,326.25474553387
2013-11-09,355.0,395.0,340.0,367.8,49272.46208422,18199556.27664,369.36567621752
2013-11-08,309.659,358.0,308.01001,355.0,43831.60922405,14805767.38865,337.78744724997
2013-11-07,264.1,324.198,263.60001,309.659,85178.59305129,25293726.933848,296.94933935591
2013-11-06,251.3,272.52,251.4134,264.1,37807.24482257,9944331.9561488,263.02715267451
2013-11-05,238.19039,258.87626,229.0,251.3,44067.2597879,10833235.333126,245.83410416865
2013-11-04,224.01001,239.02,222.0,238.19039,16899.83669991,3895904.6892991,230.52913223237
2013-11-03,211.70001,226.959,212.105,224.01001,12032.8438721,2641482.5437088,219.52271398065
2013-11-02,213.5,214.87996,211.02,211.70001,4375.23265398,932092.24810282,213.03832774581
2013-11-01,211.1714,215.0,209.76,213.5,4884.45010394,1039764.6682136,212.87241062712
2013-10-31,208.0,215.0,205.43565,211.1714,4608.29256087,976625.58148322,211.9278601745
2013-10-30,216.0,216.5,204.0,208.0,12582.46658231,2654807.0987745,210.99258093855
2013-10-29,206.9,216.5,204.20001,216.0,8958.38731688,1892602.5094385,211.26598376387
2013-10-28,207.0001,209.79,200.42,206.9,10041.15872391,2072651.3207409,206.41555200253
2013-10-27,188.56002,207.9,189.0,207.0001,12904.93483823,2578681.5511793,199.82135388551
2013-10-26,197.90999,198.42679,187.0,188.56002,11593.22707078,2227101.4509617,192.10366857861
2013-10-25,206.995,209.0,176.60399,197.90999,35744.03756038,6740413.0217937,188.57447232724
2013-10-24,228.0,233.4,175.30001,206.995,95972.97321546,19489369.735074,203.07143857385
2013-10-23,203.0,228.0,200.75,228.0,38958.65819673,8332514.7826577,213.88094889153
2013-10-22,192.795,205.5,192.795,203.0,32953.9859092,6582493.6457456,199.74802635052
2013-10-21,186.12,197.39005,183.2,192.795,22991.33055353,4406343.3082594,191.65238384095
2013-10-20,183.17999,186.12,177.25,186.12,11174.87164847,2043935.171134,182.9045769321
2013-10-19,168.3,195.83267,167.1,183.17999,54485.20003967,9865972.8772447,181.07619812466
2013-10-18,157.60001,168.3,156.5,168.3,24861.11120458,4061489.2442626,163.36716451815
2013-10-17,152.83,159.95,150.75471,157.60001,15093.84670754,2350949.1221548,155.7554656349
2013-10-16,158.1,163.0,144.20004,152.83,41433.57690985,6434985.7144324,155.30847670801
2013-10-15,151.38003,158.1,150.628,158.1,14282.45187855,2204254.5845739,154.33306573113
2013-10-14,147.53,153.69902,146.03267,151.38003,29438.93040197,4432598.3219342,150.56927209684
2013-10-13,142.89995,147.65,141.50021,147.53,15998.51490326,2317585.0615136,144.8625122724
2013-10-12,140.1,143.0571,139.4,142.89995,10622.02691805,1504393.7018497,141.62962619622
2013-10-11,140.41013,141.85,138.87001,140.1,6280.51110682,883230.51777709,140.63035679023
2013-10-10,139.5,141.69,138.51,140.41013,10157.63851708,1428027.9150158,140.58660510655
2013-10-09,136.50002,142.1,135.8,139.5,16615.17520573,2314148.32467,139.27920085201
2013-10-08,135.80001,137.79499,135.66,136.50002,4157.41019517,568230.66507357,136.67899928031
2013-10-07,137.8,139.0,135.12,135.80001,6405.77673665,878670.98707175,137.16853134211
2013-10-06,136.69511,138.0,134.1,137.8,4660.12778484,634030.99598281,136.05442280905
2013-10-05,136.82222,138.0,135.3,136.69511,4479.66719631,611381.97818487,136.47933013606
2013-10-04,130.98925,139.8,128.5,136.82222,17710.24526714,2387682.7629418,134.81929396946
2013-10-03,123.0,132.0,120.1,130.98925,34445.56769722,4386579.6014464,127.34815811439
2013-10-02,140.3,141.92999,109.7,123.0,110147.63962634,13742025.509595,124.76005437986
2013-10-01,141.8965,144.44,139.41,140.3,7709.56774703,1092164.8321336,141.66356246812
2013-09-30,143.88402,145.81,138.12,141.8965,12845.11957083,1825855.1650703,142.14388235175
2013-09-29,142.5,145.81,141.36005,143.88402,17790.59945709,2567567.3901605,144.32157816566
2013-09-28,138.93,143.0,138.02021,142.5,12989.27676342,1827958.4757241,140.72827217539
2013-09-27,137.10002,142.66,134.82811,138.93,25900.19083478,3593626.8131545,138.74904768381
2013-09-26,135.0,139.0,134.71,137.10002,5222.83803702,712709.65076646,136.46022444401
2013-09-25,134.7788,138.0,134.7,135.0,8243.78503955,1122963.7529748,136.21943653156
2013-09-24,133.4,136.59141,132.5,134.7788,6929.8703802,932097.51852469,134.50432221472
2013-09-23,134.00001,135.0,132.0,133.4,4464.49340033,596235.69621257,133.55058295495
2013-09-22,134.38,135.0,131.0,134.00001,5570.74042551,739648.90260638,132.77389469078
2013-09-21,133.80726,135.99,132.0,134.38,4441.24753163,594385.98521519,133.83311355245
2013-09-20,135.05037,137.28,131.0,133.80726,9923.6707145,1334825.5474332,134.50925427048
2013-09-19,140.41238,141.2,131.14,135.05037,19769.44641345,2695293.8869115,136.3363359066
2013-09-18,139.15001,142.0,139.01001,140.41238,8189.60821198,1148501.3907364,140.23886869905
2013-09-17,139.41938,141.37,138.0,139.15001,8242.27003313,1149306.1215193,139.44048385937
2013-09-16,138.3002,142.23,137.9,139.41938,9267.73564567,1295814.5418731,139.81997236602
2013-09-15,136.7149,141.0,135.04,138.3002,6197.92329567,852533.92255197,137.55154458712
2013-09-14,140.66,142.0,136.5,136.7149,8361.59516402,1162873.3144683,139.07314234396
2013-09-13,139.35499,145.60414,137.82,140.66,18892.27351611,2701141.0167351,142.97596392684
2013-09-12,142.1,145.51679,137.51,139.35499,19360.47991208,2726354.3582664,140.82059797316
2013-09-11,132.61636,145.9,127.5,142.1,40468.77750008,5561047.2643662,137.41574635792
2013-09-10,133.1,136.02,131.375,132.61636,7833.10006064,1046934.1679876,133.655150564
2013-09-09,126.31501,137.48007,124.0,133.1,28172.62104611,3713063.368739,131.79687337795
2013-09-08,128.99496,129.86999,124.06,126.31501,7127.43201276,898013.72647435,125.99400806162
2013-09-07,121.9,131.02499,121.25,128.99496,13551.30085697,1711444.1347451,126.29371547492
2013-09-06,130.20002,133.99999,121.9,121.9,18159.81754973,2306510.2139523,127.01175040091
2013-09-05,132.51,137.97,127.24164,130.20002,25687.39499566,3388171.0544358,131.90014226855
2013-09-04,144.0,145.8,130.08998,132.51,27617.9571232,3789771.8156001,137.22129405496
2013-09-03,144.0,148.90893,142.2,144.0,15761.46935308,2289067.0618413,145.23183153568
2013-09-02,146.01003,148.5,142.11,144.0,10444.51454011,1515953.5536115,145.14351507577
2013-09-01,141.0,147.29,141.0,146.01003,13933.37846615,2012831.9704496,144.46115673521
2013-08-31,138.03002,148.7,135.89,141.0,30617.80027032,4379539.8553032,143.03901053103
2013-08-30,129.30034,142.76173,128.56,138.03002,44989.75390177,6130666.3118789,136.26805617263
2013-08-29,128.76,131.2,128.18,129.30034,7362.92437175,950327.42135453,129.06929005012
2013-08-28,131.295,131.72442,128.02,128.76,11556.08807684,1498911.3274357,129.70750287372
2013-08-27,120.07,133.0,120.0,131.295,52815.73043665,6753064.3492056,127.86085307114
