Date,t,Close
2014-03-28,2014.242,1120.15
2014-03-27,2014.239,1114.28
2014-03-26,2014.236,1131.97
2014-03-25,2014.233,1158.72
2014-03-24,2014.231,1157.93
2014-03-21,2014.222,1183.04
2014-03-20,2014.219,1197.16
2014-03-19,2014.217,1199.25
2014-03-18,2014.214,1211.26
2014-03-17,2014.211,1192.1
2014-03-14,2014.203,1172.8
2014-03-13,2014.2,1189.06
2014-03-12,2014.197,1207.3
2014-03-11,2014.194,1199.99
2014-03-10,2014.192,1211.57
2014-03-07,2014.183,1214.79
2014-03-06,2014.181,1219.61
2014-03-05,2014.178,1218.26
2014-03-04,2014.175,1214.91
2014-03-03,2014.172,1202.69
2014-02-28,2014.158,1215.65
2014-02-27,2014.156,1219.21
2014-02-26,2014.153,1220.17
2014-02-25,2014.15,1220
2014-02-24,2014.147,1212.51
2014-02-21,2014.139,1203.79
2014-02-20,2014.136,1204.11
2014-02-19,2014.133,1202.34
2014-02-18,2014.131,1210.88
2014-02-14,2014.119,1202.8
2014-02-13,2014.117,1199.9
2014-02-12,2014.114,1186.69
2014-02-11,2014.111,1190.18
2014-02-10,2014.108,1172.93
2014-02-07,2014.1,1177.44
2014-02-06,2014.097,1159.96
2014-02-05,2014.094,1143.2
2014-02-04,2014.092,1138.16
2014-02-03,2014.089,1133.43
2014-01-31,2014.083,1180.97
2014-01-30,2014.081,1135.39
2014-01-29,2014.078,1106.92
2014-01-28,2014.075,1123.01
2014-01-27,2014.072,1101.23
2014-01-24,2014.064,1123.83
2014-01-23,2014.061,1160.1
2014-01-22,2014.058,1165.02
2014-01-21,2014.056,1163.7
2014-01-17,2014.044,1150.53
2014-01-16,2014.042,1156.22
2014-01-15,2014.039,1148.62
2014-01-09,2014.022,1130.24
2014-01-08,2014.019,1141.23
2014-01-07,2014.017,1138.86
2014-01-06,2014.014,1117.32
2014-01-03,2014.006,1105
2014-01-02,2014.003,1113.12
2013-12-31,2014,1120.71
2013-12-30,2013.997,1109.46
2013-12-27,2013.989,1118.4
2013-12-26,2013.986,1117.46
2013-12-24,2013.981,1111.84
2013-12-23,2013.978,1115.1
2013-12-20,2013.969,1100.62
2013-12-19,2013.967,1086.22
2013-12-18,2013.964,1084.75
2013-12-17,2013.961,1069.86
2013-12-16,2013.958,1072.98
2013-12-13,2013.95,1060.79
2013-12-12,2013.947,1069.96
2013-12-11,2013.944,1077.29
2013-12-10,2013.942,1084.66
