Date,t,Close
2014-03-28,2014.242,4.75
2014-03-27,2014.239,4.71
2014-03-26,2014.236,4.76
2014-03-25,2014.233,4.94
2014-03-24,2014.231,4.97
2014-03-21,2014.222,5.04
2014-03-20,2014.219,5.06
2014-03-19,2014.217,5.09
2014-03-18,2014.214,5.1
2014-03-17,2014.211,5.05
2014-03-14,2014.203,5.03
2014-03-13,2014.2,4.87
2014-03-12,2014.197,4.85
2014-03-11,2014.194,4.85
2014-03-10,2014.192,4.9
2014-03-07,2014.183,4.97
2014-03-06,2014.181,5
2014-03-05,2014.178,4.96
2014-03-04,2014.175,5.07
2014-03-03,2014.172,5.25
2014-02-28,2014.158,5.22
2014-02-27,2014.156,5.25
2014-02-26,2014.153,5.19
2014-02-25,2014.15,5.38
2014-02-24,2014.147,5.47
2014-02-21,2014.139,5.41
2014-02-20,2014.136,5.42
2014-02-19,2014.133,5.4
2014-02-18,2014.131,5.56
2014-02-14,2014.119,5.4
2014-02-13,2014.117,5.33
2014-02-12,2014.114,5.26
2014-02-11,2014.111,5.21
2014-02-10,2014.108,5.07
2014-02-07,2014.1,5.02
2014-02-06,2014.097,4.71
2014-02-05,2014.094,4.66
2014-02-04,2014.092,4.65
2014-02-03,2014.089,4.66
2014-01-31,2014.083,4.85
2014-01-30,2014.081,4.95
2014-01-29,2014.078,4.86
2014-01-28,2014.075,4.95
2014-01-27,2014.072,4.84
2014-01-24,2014.064,5.01
2014-01-23,2014.061,5.23
2014-01-22,2014.058,5.27
2014-01-21,2014.056,5.2
2014-01-09,2014.022,5.29
2014-01-08,2014.019,5.51
2014-01-07,2014.017,5.66
2014-01-06,2014.014,5.77
2014-01-03,2014.006,6.01
2014-01-02,2014.003,6.29
2013-12-31,2014,5.62
2013-12-30,2013.997,5.38
2013-12-27,2013.989,5.53
2013-12-26,2013.986,4.81
2013-12-24,2013.981,4.81
2013-12-23,2013.978,4.81
2013-12-20,2013.969,4.9
2013-12-19,2013.967,4.77
2013-12-18,2013.964,4.65
2013-12-17,2013.961,4.77
2013-12-16,2013.958,4.53
2013-12-13,2013.95,4.57
2013-12-12,2013.947,4.61
2013-12-11,2013.944,4.74
2013-12-10,2013.942,4.84
2013-12-09,2013.939,4.88
2013-12-06,2013.931,4.78
2013-12-05,2013.928,4.95
2013-12-04,2013.925,4.99
2013-12-03,2013.922,5.12
2013-12-02,2013.919,4.98
2013-11-29,2013.911,4.78
2013-11-27,2013.906,4.62
2013-11-26,2013.903,4.6
2013-11-25,2013.9,4.65
2013-11-22,2013.892,4.67
2013-11-21,2013.889,4.69
2013-11-20,2013.886,4.61
2013-11-19,2013.883,4.65
2013-11-18,2013.881,4.65
2013-11-15,2013.872,4.72
2013-11-14,2013.869,4.6
2013-11-13,2013.867,4.77
2013-11-12,2013.864,4.76
2013-11-11,2013.861,4.89
2013-11-08,2013.853,4.85
2013-11-07,2013.85,4.76
2013-11-06,2013.847,4.82
2013-11-05,2013.844,4.93
2013-11-04,2013.842,5.07
2013-11-01,2013.833,5.02
2013-10-31,2013.833,5.07
2013-10-30,2013.831,5.04
2013-10-29,2013.828,5.15
2013-10-28,2013.825,5.15
2013-10-25,2013.817,5.23
2013-10-24,2013.814,5.38
2013-10-23,2013.811,5.24
2013-10-22,2013.808,5.31
2013-10-21,2013.806,5.25
2013-10-18,2013.797,5.36
2013-10-17,2013.794,5.52
2013-10-16,2013.792,5.49
2013-10-15,2013.789,5.58
2013-10-14,2013.786,7.1
2013-10-11,2013.778,7.04
2013-10-10,2013.775,7.08
2013-10-09,2013.772,6.95
2013-10-08,2013.769,7.1
2013-10-07,2013.767,7.1
2013-10-04,2013.758,7.32
2013-10-03,2013.756,7.19
2013-10-02,2013.753,7.36
2013-10-01,2013.75,6.66
2013-09-30,2013.747,6.56
2013-09-27,2013.739,6.73
2013-09-26,2013.736,7.18
2013-09-25,2013.733,7.21
2013-09-24,2013.731,7.29
2013-09-23,2013.728,7.19
2013-09-20,2013.719,7.07
2013-09-19,2013.717,6.94
2013-09-18,2013.714,6.86
2013-09-17,2013.711,6.73
2013-09-16,2013.708,6.43
2013-09-13,2013.7,6.48
2013-09-12,2013.697,6.57
2013-09-11,2013.694,6.87
2013-09-10,2013.692,6.75
2013-09-09,2013.689,6.63
2013-09-06,2013.681,6.35
2013-09-05,2013.678,6.35
2013-09-04,2013.675,6.22
2013-09-03,2013.672,6.23
2013-08-30,2013.664,6.1
2013-08-29,2013.661,6.17
2013-08-28,2013.658,6.13
2013-08-27,2013.656,6.17
2013-08-26,2013.653,6.42
2013-08-23,2013.644,6.45
2013-08-22,2013.642,6.29
2013-08-21,2013.639,6.11
2013-08-20,2013.636,6.01
2013-08-19,2013.633,5.97
2013-08-16,2013.625,6.17
2013-08-15,2013.622,6.29
2013-08-14,2013.619,6.75
2013-08-13,2013.617,6.82
2013-08-12,2013.614,6.9
2013-08-09,2013.606,6.69
2013-08-08,2013.603,7.41
2013-08-07,2013.6,7.06
2013-08-06,2013.597,7.07
2013-08-05,2013.594,7.3
2013-08-02,2013.586,7.28
2013-08-01,2013.583,7.29
2013-07-31,2013.583,7.46
2013-07-30,2013.581,7.05
2013-07-29,2013.578,7.14
2013-07-26,2013.569,7.43
2013-07-25,2013.567,7.53
2013-07-24,2013.564,7.39
2013-07-23,2013.561,7.91
2013-07-22,2013.558,7.46
2013-07-19,2013.55,6.97
2013-07-18,2013.547,7.03
2013-07-17,2013.544,7.15
2013-07-16,2013.542,6.88
2013-07-15,2013.539,6.89
2013-07-12,2013.531,6.96
2013-07-11,2013.528,6.79
2013-07-10,2013.525,7.08
2013-07-09,2013.522,6.1
2013-07-08,2013.519,5.8
2013-07-05,2013.511,5.71
2013-07-03,2013.506,5.94
2013-07-02,2013.503,6.01
2013-07-01,2013.5,6.05
2013-06-28,2013.492,6.2
2013-06-27,2013.489,5.61
2013-06-26,2013.486,5.42
2013-06-25,2013.483,5.39
2013-06-24,2013.481,5.14
2013-06-21,2013.472,5.39
2013-06-20,2013.469,5.43
2013-06-19,2013.467,5.61
2013-06-18,2013.464,5.72
2013-06-17,2013.461,5.64
2013-06-14,2013.453,5.69
2013-06-13,2013.45,5.88
2013-06-12,2013.447,5.69
2013-06-11,2013.444,5.89
2013-06-10,2013.442,6.07
2013-06-07,2013.433,5.92
2013-06-06,2013.431,5.92
2013-06-05,2013.428,5.88
2013-06-04,2013.425,6.09
2013-06-03,2013.422,6.28
2013-05-31,2013.417,6.57
2013-05-30,2013.414,6.79
2013-05-29,2013.411,6.64
2013-05-28,2013.408,6.63
2013-05-24,2013.397,6.73
2013-05-23,2013.394,6.67
2013-05-22,2013.392,6.86
2013-05-21,2013.389,7.22
2013-05-20,2013.386,7.22
2013-05-17,2013.378,6.52
2013-05-16,2013.375,6.56
2013-05-15,2013.372,6.76
2013-05-14,2013.369,6.99
2013-05-13,2013.367,7.08
2013-05-10,2013.358,7.34
2013-05-09,2013.356,5.59
2013-05-08,2013.353,5.66
2013-05-07,2013.35,5.68
2013-05-06,2013.347,5.84
2013-05-03,2013.339,5.79
2013-05-02,2013.336,5.79
2013-05-01,2013.333,5.67
2013-04-30,2013.331,5.84
2013-04-29,2013.328,5.59
2013-04-26,2013.319,5.64
2013-04-25,2013.317,5.58
2013-04-24,2013.314,5.51
2013-04-23,2013.311,5.18
2013-04-22,2013.308,5.18
2013-04-19,2013.3,5.2
2013-04-18,2013.297,5.03
2013-04-17,2013.294,4.88
2013-04-16,2013.292,4.98
2013-04-15,2013.289,5.06
2013-04-12,2013.281,5.49
2013-04-11,2013.278,5.77
2013-04-10,2013.275,5.49
2013-04-09,2013.272,5.66
2013-04-08,2013.269,5.34
2013-04-05,2013.261,5.23
2013-04-04,2013.258,5.22
2013-04-03,2013.256,5.24
2013-04-02,2013.253,5.24
2013-04-01,2013.25,4.91
2013-03-28,2013.242,5.2
2013-03-27,2013.239,5.45
2013-03-26,2013.236,5.35
2013-03-25,2013.233,5.67
2013-03-22,2013.225,5.72
2013-03-21,2013.222,5.84
2013-03-20,2013.219,5.89
2013-03-19,2013.217,5.89
2013-03-18,2013.214,6.08
2013-03-15,2013.206,6.19
2013-03-14,2013.203,5.99
2013-03-13,2013.2,5.97
2013-03-12,2013.197,6.25
2013-03-11,2013.194,6.41
2013-03-08,2013.186,6.49
2013-03-07,2013.183,6.26
2013-03-06,2013.181,6.22
2013-03-05,2013.178,5.76
2013-03-04,2013.175,5.89
2013-03-01,2013.167,5.81
2013-02-28,2013.158,6.14
2013-02-27,2013.156,6.24
2013-02-26,2013.153,6.3
2013-02-25,2013.15,6.2
2013-02-22,2013.142,6.63
2013-02-21,2013.139,6.62
2013-02-20,2013.136,6.81
2013-02-19,2013.133,7.17
2013-02-15,2013.122,7.31
2013-02-14,2013.119,7.49
2013-02-13,2013.117,7.39
2013-02-12,2013.114,7.43
2013-02-11,2013.111,7.4
2013-02-08,2013.103,7.46
2013-02-07,2013.1,7.62
2013-02-06,2013.097,7.57
2013-02-05,2013.094,7.53
2013-02-04,2013.092,7.34
2013-02-01,2013.083,7.43
2013-01-31,2013.083,7.38
2013-01-30,2013.081,7.36
2013-01-29,2013.078,7.54
2013-01-28,2013.075,7.65
2013-01-25,2013.067,8
2013-01-24,2013.064,7.07
2013-01-23,2013.061,7.88
2013-01-22,2013.058,8.83
2013-01-18,2013.047,8.86
2013-01-17,2013.044,8.8
2013-01-16,2013.042,9.04
2013-01-15,2013.039,8.84
2013-01-14,2013.036,8.78
2013-01-11,2013.028,8.48
2013-01-10,2013.025,8.34
2013-01-09,2013.022,10.79
2013-01-08,2013.019,10.72
2013-01-07,2013.017,11.56
2013-01-04,2013.008,10.3
2013-01-03,2013.006,10.19
2013-01-02,2013.003,10.39
2012-12-31,2013,9.44
2012-12-28,2012.992,9.15
2012-12-27,2012.989,9.3
2012-12-26,2012.986,9.68
2012-12-24,2012.981,9.55
2012-12-21,2012.972,9.85
2012-12-20,2012.969,10.1
2012-12-19,2012.967,10.07
2012-12-18,2012.964,10.2
2012-12-17,2012.961,10.09
2012-12-14,2012.953,10.05
2012-12-13,2012.95,10.24
2012-12-12,2012.947,10.99
2012-12-11,2012.944,11.33
2012-12-10,2012.942,10.7
2012-12-07,2012.933,8.94
2012-12-06,2012.931,8.79
2012-12-05,2012.928,8.8
2012-12-04,2012.925,8.6
2012-12-03,2012.922,9
2012-11-30,2012.914,8.97
2012-11-29,2012.911,8.81
2012-11-28,2012.908,8.22
2012-11-27,2012.906,8.47
2012-11-26,2012.903,8.68
2012-11-23,2012.894,8.62
2012-11-21,2012.889,7.23
2012-11-20,2012.886,7.02
2012-11-19,2012.883,6.63
2012-11-16,2012.875,6.13
2012-11-15,2012.872,6.06
2012-11-14,2012.869,6.18
2012-11-13,2012.867,6.67
2012-11-12,2012.864,7.17
2012-11-09,2012.856,7.5
2012-11-08,2012.853,8.68
2012-11-07,2012.85,8.97
2012-11-06,2012.847,9.79
2012-11-05,2012.844,9.77
2012-11-02,2012.836,9.83
2012-11-01,2012.833,10.54
2012-10-31,2012.833,10.4
2012-10-26,2012.819,10.67
2012-10-25,2012.817,10.93
2012-10-24,2012.814,10.82
2012-10-23,2012.811,10.8
2012-10-22,2012.808,10.9
2012-10-19,2012.8,11.05
2012-10-18,2012.797,11.62
2012-10-17,2012.794,11.38
2012-10-16,2012.792,10.78
2012-10-15,2012.789,10.62
2012-10-12,2012.781,10.72
2012-10-11,2012.778,11.13
2012-10-10,2012.775,10.67
2012-10-09,2012.772,11.1
2012-10-08,2012.769,11.11
2012-10-05,2012.761,10.88
2012-10-04,2012.758,11.04
2012-10-03,2012.756,10.45
2012-10-02,2012.753,10.84
2012-10-01,2012.75,10.98
2012-09-28,2012.742,11.5
2012-09-27,2012.739,11.44
2012-09-26,2012.736,11.57
2012-09-25,2012.733,11.05
2012-09-24,2012.731,11.59
2012-09-21,2012.722,13
2012-09-20,2012.719,13.23
2012-09-19,2012.717,13.65
2012-09-18,2012.714,13.85
2012-09-17,2012.711,13.43
2012-09-14,2012.703,13.43
2012-09-13,2012.7,12.71
2012-09-12,2012.697,12.08
2012-09-11,2012.694,12.08
2012-09-10,2012.692,11.93
2012-09-07,2012.683,11.94
2012-09-06,2012.681,11.38
2012-09-05,2012.678,11.32
2012-09-04,2012.675,11.42
2012-08-31,2012.667,11.51
2012-08-30,2012.664,11.08
2012-08-29,2012.661,12.23
2012-08-28,2012.658,10.75
2012-08-27,2012.656,9.52
2012-08-24,2012.647,9.61
2012-08-23,2012.644,9.68
2012-08-22,2012.642,9.64
2012-08-21,2012.639,9.84
2012-08-20,2012.636,10.02
2012-08-17,2012.628,9.84
2012-08-16,2012.625,11.16
2012-08-15,2012.622,12.06
2012-08-14,2012.619,11.83
2012-08-13,2012.617,12.21
2012-08-10,2012.608,12.9
2012-08-09,2012.606,12.92
2012-08-08,2012.603,12.52
2012-08-07,2012.6,12.19
2012-08-06,2012.597,11.65
2012-08-03,2012.589,11.49
2012-08-02,2012.586,16.07
2012-08-01,2012.583,16.62
2012-07-31,2012.583,17.42
2012-07-30,2012.581,17.54
2012-07-27,2012.572,17.38
2012-07-26,2012.569,16.62
2012-07-25,2012.567,16.68
2012-07-24,2012.564,17.06
2012-07-23,2012.561,17.8
2012-07-20,2012.553,19.24
2012-07-19,2012.55,19.75
2012-07-18,2012.547,19.5
2012-07-17,2012.544,19.46
2012-07-16,2012.542,19.66
2012-07-13,2012.533,19.69
2012-07-12,2012.531,19.55
2012-07-11,2012.528,19.57
2012-07-10,2012.525,19.69
2012-07-09,2012.522,20.25
2012-07-06,2012.514,21.5
2012-07-05,2012.511,22.06
2012-07-03,2012.506,21.81
2012-07-02,2012.503,21.14
2012-06-29,2012.494,21.55
2012-06-28,2012.492,20.42
2012-06-27,2012.489,20.64
2012-06-26,2012.486,20.14
2012-06-25,2012.483,20.38
2012-06-22,2012.475,21.82
2012-06-21,2012.472,21.38
2012-06-20,2012.469,22.43
2012-06-19,2012.467,20.66
2012-06-18,2012.464,19.94
2012-06-15,2012.456,20
2012-06-14,2012.453,20
2012-06-13,2012.45,20.06
2012-06-12,2012.447,20.41
2012-06-11,2012.444,20.22
2012-06-08,2012.436,21
2012-06-07,2012.433,21.33
2012-06-06,2012.431,21.68
2012-06-05,2012.428,21.39
2012-06-04,2012.425,20.07
2012-06-01,2012.417,19.86
2012-05-31,2012.417,19.68
2012-05-30,2012.414,20.18
2012-05-29,2012.411,20.91
2012-05-25,2012.4,20.22
2012-05-24,2012.397,20.3
2012-05-23,2012.394,21.19
2012-05-22,2012.392,20.63
2012-05-21,2012.389,21.58
2012-05-18,2012.381,19.64
2012-05-17,2012.378,21.07
2012-05-16,2012.375,21.91
2012-05-15,2012.372,23.59
2012-05-14,2012.369,25.43
2012-05-11,2012.361,24.93
2012-05-10,2012.358,25.43
2012-05-09,2012.356,25.15
2012-05-08,2012.353,25.52
2012-05-07,2012.35,26.14
2012-05-04,2012.342,26.6
2012-05-03,2012.339,26.77
2012-05-02,2012.336,27.46
2012-05-01,2012.333,28.1
2012-04-30,2012.331,27.06
2012-04-27,2012.322,27.77
2012-04-26,2012.319,28.42
2012-04-25,2012.317,28.16
2012-04-24,2012.314,27.88
2012-04-23,2012.311,28.64
2012-04-20,2012.303,29.99
2012-04-19,2012.3,30.8
2012-04-18,2012.297,31.36
2012-04-17,2012.294,32.11
2012-04-16,2012.292,31.68
2012-04-13,2012.283,32.72
2012-04-12,2012.281,33.29
2012-04-11,2012.278,31.68
2012-04-10,2012.275,32.95
2012-04-09,2012.272,34.71
2012-04-05,2012.261,33.19
2012-04-04,2012.258,33.6
2012-04-03,2012.256,34.83
2012-04-02,2012.253,34.42
2012-03-30,2012.247,33.83
2012-03-29,2012.244,34.5
2012-03-28,2012.242,31.53
2012-03-27,2012.239,32.16
2012-03-26,2012.236,29.71
2012-03-23,2012.228,29.92
2012-03-22,2012.225,29.38
2012-03-21,2012.222,30.7
2012-03-20,2012.219,30.11
2012-03-19,2012.217,29.46
2012-03-16,2012.208,28.82
2012-03-15,2012.206,28.92
2012-03-14,2012.203,30.01
2012-03-13,2012.2,30.83
2012-03-12,2012.197,29.87
2012-03-09,2012.189,30.89
2012-03-08,2012.186,25.98
2012-03-07,2012.183,24.91
2012-03-06,2012.181,24.69
2012-03-05,2012.178,25.56
2012-03-02,2012.169,24.55
2012-03-01,2012.167,25.08
2012-02-29,2012.161,24.7
2012-02-28,2012.158,26.01
2012-02-27,2012.156,25.99
2012-02-24,2012.147,26.81
2012-02-23,2012.144,29.09
2012-02-22,2012.142,29.09
2012-02-21,2012.139,28.42
2012-02-17,2012.128,28.06
2012-02-16,2012.125,28.14
2012-02-15,2012.122,26.28
2012-02-14,2012.119,25.97
2012-02-13,2012.117,26.38
2012-02-10,2012.108,26.68
2012-02-09,2012.106,27.6
2012-02-08,2012.103,28.07
