Date,datevalue,t,Close
2014-03-28,41726,2014.242,358.87
2014-03-27,41725,2014.239,364.18
2014-03-26,41724,2014.236,372.28
2014-03-25,41723,2014.233,370.84
2014-03-24,41722,2014.231,378.9
2014-03-21,41719,2014.222,405.99
2014-03-20,41718,2014.219,424.27
2014-03-19,41717,2014.217,420.09
2014-03-18,41716,2014.214,420.25
2014-03-17,41715,2014.211,422.72
2014-03-14,41712,2014.203,424.49
2014-03-13,41711,2014.2,430.06
2014-03-12,41710,2014.197,436.58
2014-03-11,41709,2014.194,437.48
2014-03-10,41708,2014.192,439.95
2014-03-07,41705,2014.183,448.37
2014-03-06,41704,2014.181,450.51
2014-03-05,41703,2014.178,453.5
2014-03-04,41702,2014.175,454.98
2014-03-03,41701,2014.172,445.59
2014-02-28,41698,2014.158,445.63
2014-02-27,41697,2014.156,452.23
2014-02-26,41696,2014.153,448.79
2014-02-25,41695,2014.15,453.03
2014-02-24,41694,2014.147,447
2014-02-21,41691,2014.139,432.23
2014-02-20,41690,2014.136,434.95
2014-02-19,41689,2014.133,428.23
2014-02-18,41688,2014.131,436.85
2014-02-14,41684,2014.119,435.51
2014-02-13,41683,2014.117,436.55
2014-02-12,41682,2014.114,428.93
2014-02-11,41681,2014.111,433.99
2014-02-10,41680,2014.108,430.44
2014-02-07,41677,2014.1,429.98
2014-02-06,41676,2014.097,407.91
2014-02-05,41675,2014.094,404.42
2014-02-04,41674,2014.092,405.91
2014-02-03,41673,2014.089,404.38
2014-01-31,41670,2014.083,409.33
2014-01-30,41669,2014.081,404.67
2014-01-29,41668,2014.078,400.42
2014-01-28,41667,2014.075,406.77
2014-01-27,41666,2014.072,381.23
2014-01-24,41663,2014.064,386.08
2014-01-23,41662,2014.061,388.72
2014-01-22,41661,2014.058,333.73
2014-01-21,41660,2014.056,328.71
2014-01-17,41656,2014.044,330.04
2014-01-09,41648,2014.022,337.05
2014-01-08,41647,2014.019,340.99
2014-01-07,41646,2014.017,339.5
2014-01-06,41645,2014.014,359.57
2014-01-03,41642,2014.006,363.1
2014-01-02,41641,2014.003,362.82
2013-12-31,41639,2014,368.17
2013-12-30,41638,2013.997,366.99
2013-12-27,41635,2013.989,367.5
2013-12-26,41634,2013.986,376.93
2013-12-24,41632,2013.981,378.39
2013-12-23,41631,2013.978,380.58
2013-12-20,41628,2013.969,375.67
2013-12-19,41627,2013.967,376.74
2013-12-18,41626,2013.964,376.24
2013-12-17,41625,2013.961,374.87
2013-12-16,41624,2013.958,366.31
2013-12-13,41621,2013.95,368.97
2013-12-12,41620,2013.947,373.33
2013-12-11,41619,2013.944,363.98
2013-12-10,41618,2013.942,363.1
2013-12-09,41617,2013.939,355.67
2013-12-06,41614,2013.931,354.44
2013-12-05,41613,2013.928,358.06
2013-12-04,41612,2013.925,356.27
2013-12-03,41611,2013.922,362.94
2013-12-02,41610,2013.919,363.92
2013-11-29,41607,2013.911,365.8
2013-11-27,41605,2013.906,362.49
2013-11-26,41604,2013.903,355.2
2013-11-25,41603,2013.9,350.24
2013-11-22,41600,2013.892,347.85
2013-11-21,41599,2013.889,348.5
2013-11-20,41598,2013.886,339.52
2013-11-19,41597,2013.883,337.29
2013-11-18,41596,2013.881,341.77
2013-11-15,41593,2013.872,349.76
2013-11-14,41592,2013.869,342.57
2013-11-13,41591,2013.867,335.28
2013-11-12,41590,2013.864,333.73
2013-11-11,41589,2013.861,337.91
2013-11-08,41586,2013.853,334.9
2013-11-07,41585,2013.85,326.86
2013-11-06,41584,2013.847,335.63
2013-11-05,41583,2013.844,341.5
2013-11-04,41582,2013.842,337.6
2013-11-01,41579,2013.833,329.27
2013-10-31,41578,2013.833,322.48
2013-10-30,41577,2013.831,318.14
2013-10-29,41576,2013.828,327.3
2013-10-28,41575,2013.825,314
2013-10-25,41572,2013.817,328.03
2013-10-24,41571,2013.814,331.22
2013-10-23,41570,2013.811,330.24
2013-10-22,41569,2013.808,322.52
2013-10-21,41568,2013.806,354.99
2013-10-18,41565,2013.797,333.5
2013-10-17,41564,2013.794,330.1
2013-10-16,41563,2013.792,322.88
2013-10-15,41562,2013.789,321.69
2013-10-14,41561,2013.786,324.36
2013-10-11,41558,2013.778,300.85
2013-10-10,41557,2013.775,303.99
2013-10-09,41556,2013.772,288.43
2013-10-08,41555,2013.769,302.32
2013-10-07,41554,2013.767,318.16
2013-10-04,41551,2013.758,327.26
2013-10-03,41550,2013.756,321.72
2013-10-02,41549,2013.753,330.73
2013-10-01,41548,2013.75,324.62
2013-09-30,41547,2013.747,309.21
2013-09-27,41544,2013.739,312.4
2013-09-26,41543,2013.736,313.51
2013-09-25,41542,2013.733,307.14
2013-09-24,41541,2013.731,306.49
2013-09-23,41540,2013.728,302.04
2013-09-20,41537,2013.719,313.83
2013-09-19,41536,2013.717,305.5
2013-09-18,41535,2013.714,306.92
2013-09-17,41534,2013.711,299.55
2013-09-16,41533,2013.708,302.16
2013-09-13,41530,2013.7,305.65
2013-09-12,41529,2013.697,301.41
2013-09-11,41528,2013.694,308.3
2013-09-10,41527,2013.692,313.06
2013-09-09,41526,2013.689,294.15
2013-09-06,41523,2013.681,291.54
2013-09-05,41522,2013.678,295.11
2013-09-04,41521,2013.675,292.43
2013-09-03,41520,2013.672,289
2013-08-30,41516,2013.664,283.91
2013-08-29,41515,2013.661,287.85
2013-08-28,41514,2013.658,283.36
2013-08-27,41513,2013.656,276.04
2013-08-26,41512,2013.653,282.72
2013-08-23,41509,2013.644,278.36
2013-08-22,41508,2013.642,269.75
2013-08-21,41507,2013.639,270.37
2013-08-20,41506,2013.636,273.29
2013-08-19,41505,2013.633,259.78
2013-08-16,41502,2013.625,258.87
2013-08-15,41501,2013.622,253.41
2013-08-14,41500,2013.619,261.81
2013-08-13,41499,2013.617,259.19
2013-08-12,41498,2013.614,256.6
2013-08-09,41495,2013.606,252.75
2013-08-08,41494,2013.603,250.4
2013-08-07,41493,2013.6,249.21
2013-08-06,41492,2013.597,255.9
2013-08-05,41491,2013.594,253.84
2013-08-02,41488,2013.586,246.18
2013-08-01,41487,2013.583,249.12
2013-07-31,41486,2013.583,244.48
2013-07-30,41485,2013.581,243.76
2013-07-29,41484,2013.578,244.96
2013-07-26,41481,2013.569,246.31
2013-07-25,41480,2013.567,246.74
2013-07-24,41479,2013.564,241.3
2013-07-23,41478,2013.561,250.26
2013-07-22,41477,2013.558,261.96
2013-07-19,41474,2013.55,264.58
2013-07-18,41473,2013.547,266.41
2013-07-17,41472,2013.544,267.92
2013-07-16,41471,2013.542,260.48
2013-07-15,41470,2013.539,257.98
2013-07-12,41467,2013.531,257.26
2013-07-11,41466,2013.528,244.17
2013-07-10,41465,2013.525,243.82
2013-07-09,41464,2013.522,247.38
2013-07-08,41463,2013.519,233.1
2013-07-05,41460,2013.511,225.1
2013-07-03,41458,2013.506,220.91
2013-07-02,41457,2013.503,221.46
2013-07-01,41456,2013.5,224.28
2013-06-28,41453,2013.492,211.09
2013-06-27,41452,2013.489,214.97
2013-06-26,41451,2013.486,212.1
2013-06-25,41450,2013.483,212.9
2013-06-24,41449,2013.481,215.6
2013-06-21,41446,2013.472,216.9
2013-06-20,41445,2013.469,223.52
2013-06-19,41444,2013.467,232.31
2013-06-18,41443,2013.464,228.83
2013-06-17,41442,2013.461,229.23
2013-06-14,41439,2013.453,213.99
2013-06-13,41438,2013.45,215.39
2013-06-12,41437,2013.447,207.64
2013-06-11,41436,2013.444,214.46
2013-06-10,41435,2013.442,220.93
2013-06-07,41432,2013.433,220.22
2013-06-06,41431,2013.431,217.74
2013-06-05,41430,2013.428,223.46
2013-06-04,41429,2013.425,225.31
2013-06-03,41428,2013.422,221.97
2013-05-31,41425,2013.417,226.25
2013-05-30,41424,2013.414,222.66
2013-05-29,41423,2013.411,215.34
2013-05-28,41422,2013.408,214.19
2013-05-24,41418,2013.397,228.74
2013-05-23,41417,2013.394,226.18
2013-05-22,41416,2013.392,228.56
2013-05-21,41415,2013.389,237.09
2013-05-20,41414,2013.386,239.55
2013-05-17,41411,2013.378,239
2013-05-16,41410,2013.375,237.03
2013-05-15,41409,2013.372,243.4
2013-05-14,41408,2013.369,233.97
2013-05-13,41407,2013.367,229.38
2013-05-10,41404,2013.358,217.69
2013-05-09,41403,2013.356,216.41
2013-05-08,41402,2013.353,208.61
2013-05-07,41401,2013.35,206.25
2013-05-06,41400,2013.347,210.69
2013-05-03,41397,2013.339,213.45
2013-05-02,41396,2013.336,214.49
2013-05-01,41395,2013.333,212.91
2013-04-30,41394,2013.331,216.07
2013-04-29,41393,2013.328,215.01
2013-04-26,41390,2013.319,215.55
2013-04-25,41389,2013.317,213.75
2013-04-24,41388,2013.314,216.72
2013-04-23,41387,2013.311,216.99
2013-04-22,41386,2013.308,174.37
2013-04-19,41383,2013.3,163.37
2013-04-18,41382,2013.297,163.82
2013-04-17,41381,2013.294,169.36
2013-04-16,41380,2013.292,175.85
2013-04-15,41379,2013.289,176.5
2013-04-12,41376,2013.281,173.2
2013-04-11,41375,2013.278,173.01
2013-04-10,41374,2013.275,166.07
2013-04-09,41373,2013.272,169.36
2013-04-08,41372,2013.269,163.06
2013-04-05,41369,2013.261,164.66
2013-04-04,41368,2013.258,166.69
2013-04-03,41367,2013.256,169.74
2013-04-02,41366,2013.253,176.69
2013-04-01,41365,2013.25,182.43
2013-03-28,41361,2013.242,189.28
2013-03-27,41360,2013.239,190.24
2013-03-26,41359,2013.236,190.61
2013-03-25,41358,2013.233,180.79
2013-03-22,41355,2013.225,181.3
2013-03-21,41354,2013.222,181.99
2013-03-20,41353,2013.219,183.05
2013-03-19,41352,2013.217,181.37
2013-03-18,41351,2013.214,185.59
2013-03-15,41348,2013.206,184.85
2013-03-14,41347,2013.203,188.37
2013-03-13,41346,2013.2,192.36
