Date,t,Close
2014-03-28,2014.242,14696.03
2014-03-27,2014.239,14622.89
2014-03-26,2014.236,14477.16
2014-03-25,2014.233,14423.19
2014-03-24,2014.231,14475.3
2014-03-20,2014.219,14224.23
2014-03-19,2014.217,14463
2014-03-18,2014.214,14411.27
2014-03-17,2014.211,14277.67
2014-03-14,2014.203,14327.66
2014-03-13,2014.2,14815.98
2014-03-12,2014.197,14830.39
2014-03-11,2014.194,15224.11
2014-03-10,2014.192,15120.14
2014-03-07,2014.183,15274.07
2014-03-06,2014.181,15134.75
2014-03-05,2014.178,14897.63
2014-03-04,2014.175,14721.48
2014-03-03,2014.172,14652.23
2014-02-28,2014.158,14841.07
2014-02-27,2014.156,14923.11
2014-02-26,2014.153,14970.97
2014-02-25,2014.15,15051.6
2014-02-24,2014.147,14837.68
2014-02-21,2014.139,14865.67
2014-02-20,2014.136,14449.18
2014-02-19,2014.133,14766.53
2014-02-18,2014.131,14843.24
2014-02-17,2014.128,14393.11
2014-02-14,2014.119,14313.03
2014-02-13,2014.117,14534.74
2014-02-12,2014.114,14800.06
2014-02-10,2014.108,14718.34
2014-02-07,2014.1,14462.41
2014-02-06,2014.097,14155.12
2014-02-05,2014.094,14180.38
2014-02-04,2014.092,14008.47
2014-02-03,2014.089,14619.13
2014-01-31,2014.083,14914.53
2014-01-30,2014.081,15007.06
2014-01-29,2014.078,15383.91
2014-01-28,2014.075,14980.16
2014-01-27,2014.072,15005.73
2014-01-24,2014.064,15391.56
2014-01-23,2014.061,15695.89
2014-01-22,2014.058,15820.96
2014-01-21,2014.056,15795.96
2014-01-20,2014.053,15641.68
2014-01-17,2014.044,15734.46
2014-01-16,2014.042,15747.2
2014-01-15,2014.039,15808.73
2014-01-14,2014.036,15422.4
2014-01-13,2014.033,15912.06
2014-01-09,2014.022,15880.33
2014-01-08,2014.019,16121.45
2014-01-07,2014.017,15814.37
2014-01-06,2014.014,15908.88
2013-12-30,2013.997,16291.31
2013-12-27,2013.989,16178.94
2013-12-26,2013.986,16174.44
2013-12-25,2013.983,16009.99
2013-12-24,2013.981,15889.33
2013-12-23,2013.978,15870.42
2013-12-20,2013.969,15870.42
2013-12-19,2013.967,15859.22
2013-12-18,2013.964,15587.8
2013-12-17,2013.961,15278.63
2013-12-16,2013.958,15152.91
2013-12-13,2013.95,15403.11
2013-12-12,2013.947,15341.82
2013-12-11,2013.944,15515.06
2013-12-10,2013.942,15611.31
2013-12-09,2013.939,15650.21
2013-12-06,2013.931,15299.86
2013-12-05,2013.928,15177.49
2013-12-04,2013.925,15407.94
2013-12-03,2013.922,15749.66
2013-12-02,2013.919,15655.07
2013-11-29,2013.911,15661.87
2013-11-28,2013.908,15727.12
2013-11-27,2013.906,15449.63
2013-11-26,2013.903,15515.24
2013-11-25,2013.9,15619.13
2013-11-22,2013.892,15381.72
2013-11-21,2013.889,15365.6
2013-11-20,2013.886,15076.08
2013-11-19,2013.883,15126.56
2013-11-18,2013.881,15164.3
2013-11-15,2013.872,15165.92
2013-11-14,2013.869,14876.41
2013-11-13,2013.867,14567.16
2013-11-12,2013.864,14588.68
2013-11-11,2013.861,14269.84
2013-11-08,2013.853,14086.8
2013-11-07,2013.85,14228.44
2013-11-06,2013.847,14337.31
2013-11-05,2013.844,14225.37
2013-11-01,2013.833,14201.57
2013-10-31,2013.833,14327.94
2013-10-30,2013.831,14502.35
2013-10-29,2013.828,14325.98
2013-10-28,2013.825,14396.04
2013-10-25,2013.817,14088.19
2013-10-24,2013.814,14486.41
2013-10-23,2013.811,14426.05
2013-10-22,2013.808,14713.25
2013-10-21,2013.806,14693.57
2013-10-18,2013.797,14561.54
2013-10-17,2013.794,14586.51
2013-10-16,2013.792,14467.14
2013-10-15,2013.789,14441.54
2013-10-14,2013.786,14404.74
2013-10-11,2013.778,14404.74
2013-10-10,2013.775,14194.71
2013-10-09,2013.772,14037.84
2013-10-08,2013.769,13894.61
2013-10-07,2013.767,13853.32
2013-10-04,2013.758,14024.31
2013-10-03,2013.756,14157.25
2013-10-02,2013.753,14170.49
2013-10-01,2013.75,14484.72
2013-09-30,2013.747,14455.8
2013-09-27,2013.739,14760.07
2013-09-26,2013.736,14799.12
2013-09-25,2013.733,14620.53
2013-09-24,2013.731,14732.61
2013-09-23,2013.728,14742.42
2013-09-20,2013.719,14742.42
2013-09-19,2013.717,14766.18
2013-09-18,2013.714,14505.36
2013-09-17,2013.711,14311.67
2013-09-13,2013.7,14404.67
2013-09-12,2013.697,14387.27
2013-09-11,2013.694,14425.07
2013-09-10,2013.692,14423.36
2013-09-09,2013.689,14205.23
2013-09-06,2013.681,13860.81
2013-09-05,2013.678,14064.82
2013-09-04,2013.675,14053.87
2013-09-03,2013.672,13978.44
2013-09-02,2013.669,13572.92
2013-08-30,2013.664,13388.86
2013-08-29,2013.661,13459.71
2013-08-28,2013.658,13338.46
2013-08-27,2013.656,13542.37
2013-08-26,2013.653,13636.28
2013-08-23,2013.644,13660.55
2013-08-22,2013.642,13365.17
2013-08-21,2013.639,13424.33
2013-08-20,2013.636,13396.38
2013-08-19,2013.633,13758.13
2013-08-16,2013.625,13650.11
2013-08-15,2013.622,13752.94
2013-08-14,2013.619,14050.16
2013-08-13,2013.617,13867
2013-08-12,2013.614,13519.43
2013-08-09,2013.606,13615.19
2013-08-08,2013.603,13605.56
2013-08-07,2013.6,13824.94
2013-08-06,2013.597,14401.06
2013-08-05,2013.594,14258.04
2013-08-02,2013.586,14466.16
2013-08-01,2013.583,14005.77
2013-07-31,2013.583,13668.32
2013-07-30,2013.581,13869.82
2013-07-29,2013.578,13661.13
2013-07-26,2013.569,14129.98
2013-07-25,2013.567,14562.93
2013-07-24,2013.564,14731.28
2013-07-23,2013.561,14778.51
2013-07-22,2013.558,14658.04
2013-07-19,2013.55,14589.91
2013-07-18,2013.547,14808.5
2013-07-17,2013.544,14615.04
2013-07-16,2013.542,14599.12
2013-07-12,2013.531,14506.25
2013-07-11,2013.528,14472.58
2013-07-10,2013.525,14416.6
2013-07-09,2013.522,14472.9
2013-07-08,2013.519,14109.34
2013-07-05,2013.511,14309.97
2013-07-04,2013.508,14018.93
2013-07-03,2013.506,14055.56
2013-07-02,2013.503,14098.74
2013-07-01,2013.5,13852.5
2013-06-28,2013.492,13677.32
2013-06-27,2013.489,13213.55
2013-06-26,2013.486,12834.01
2013-06-25,2013.483,12969.34
2013-06-24,2013.481,13062.78
2013-06-21,2013.472,13230.13
2013-06-20,2013.469,13014.58
2013-06-19,2013.467,13245.22
2013-06-18,2013.464,13007.28
2013-06-17,2013.461,13033.12
2013-06-14,2013.453,12686.52
2013-06-13,2013.45,12445.38
2013-06-12,2013.447,13289.32
2013-06-11,2013.444,13317.62
2013-06-10,2013.442,13514.2
2013-06-07,2013.433,12877.53
2013-06-06,2013.431,12904.02
2013-06-05,2013.428,13014.87
2013-06-04,2013.425,13533.76
2013-06-03,2013.422,13261.82
2013-05-31,2013.417,13774.54
2013-05-30,2013.414,13589.03
2013-05-29,2013.411,14326.46
2013-05-28,2013.408,14311.98
2013-05-27,2013.406,14142.65
2013-05-24,2013.397,14612.45
2013-05-23,2013.394,14483.98
2013-05-22,2013.392,15627.26
2013-05-21,2013.389,15381.02
2013-05-20,2013.386,15360.81
2013-05-17,2013.378,15138.12
2013-05-16,2013.375,15037.24
2013-05-15,2013.372,15096.03
2013-05-14,2013.369,14758.42
2013-05-13,2013.367,14782.21
2013-05-10,2013.358,14607.54
2013-05-09,2013.356,14191.48
2013-05-08,2013.353,14285.69
2013-05-07,2013.35,14180.24
2013-05-02,2013.336,13694.04
2013-05-01,2013.333,13799.35
2013-04-30,2013.331,13860.86
2013-04-26,2013.319,13884.13
2013-04-25,2013.317,13926.08
2013-04-24,2013.314,13843.46
2013-04-23,2013.311,13529.65
2013-04-22,2013.308,13568.37
2013-04-19,2013.3,13316.48
2013-04-18,2013.297,13220.07
2013-04-17,2013.294,13382.89
2013-04-16,2013.292,13221.44
2013-04-15,2013.289,13275.66
2013-04-12,2013.281,13485.14
2013-04-11,2013.278,13549.16
2013-04-10,2013.275,13288.13
2013-04-09,2013.272,13192.35
2013-04-08,2013.269,13192.59
2013-04-05,2013.261,12833.64
2013-04-04,2013.258,12634.54
2013-04-03,2013.256,12362.2
2013-04-02,2013.253,12003.43
2013-04-01,2013.25,12135.02
2013-03-29,2013.244,12397.91
2013-03-28,2013.242,12335.96
2013-03-27,2013.239,12493.79
2013-03-26,2013.236,12471.62
2013-03-25,2013.233,12546.46
2013-03-22,2013.225,12338.53
2013-03-21,2013.222,12635.69
