Date;t;price
1998-12-30;1998.997;701.31
1998-12-29;1998.994;705.52
1998-12-28;1998.992;711.45
1998-12-23;1998.978;701.88
1998-12-22;1998.975;680.19
1998-12-21;1998.972;672.61
1998-12-18;1998.964;661.18
1998-12-17;1998.961;674.84
1998-12-16;1998.958;668.12
1998-12-15;1998.956;651.32
1998-12-14;1998.953;656.24
1998-12-11;1998.944;667.48
1998-12-10;1998.942;686.04
1998-12-09;1998.939;728.2
1998-12-08;1998.936;692.94
1998-12-07;1998.933;694.38
1998-12-04;1998.925;681.16
1998-12-03;1998.922;677.92
1998-12-02;1998.919;683.74
1998-12-01;1998.917;689.71
1998-11-30;1998.914;709.27
1998-11-27;1998.906;722.34
1998-11-26;1998.903;707.44
1998-11-25;1998.9;691.8
1998-11-24;1998.897;678.21
1998-11-23;1998.894;686.23
1998-11-20;1998.886;674.05
1998-11-19;1998.883;671.08
1998-11-18;1998.881;662.93
1998-11-17;1998.878;649.01
1998-11-16;1998.875;649.6
1998-11-13;1998.867;638.05
1998-11-12;1998.864;637.83
1998-11-11;1998.861;644.45
1998-11-10;1998.858;636.59
1998-11-09;1998.856;635.81
1998-11-06;1998.847;642.6
1998-11-05;1998.844;638.02
1998-11-04;1998.842;655.47
1998-11-03;1998.839;640.14
1998-11-02;1998.836;651.49
1998-10-30;1998.831;624.42
1998-10-29;1998.828;605.61
1998-10-28;1998.825;601.05
1998-10-27;1998.822;619.83
1998-10-26;1998.819;600.29
1998-10-23;1998.811;595.68
1998-10-22;1998.808;588.52
1998-10-21;1998.806;604.2
1998-10-20;1998.803;626.84
1998-10-19;1998.8;613.05
1998-10-16;1998.792;620.94
1998-10-15;1998.789;608.08
1998-10-14;1998.786;596.27
1998-10-13;1998.783;577.95
1998-10-12;1998.781;579.57
1998-10-09;1998.772;519.08
1998-10-08;1998.769;498.64
1998-10-07;1998.767;534.18
1998-10-06;1998.764;547.12
1998-10-05;1998.761;533.72
1998-10-02;1998.753;557.94
1998-10-01;1998.75;565.05
1998-09-30;1998.747;586.86
1998-09-29;1998.744;606.68
1998-09-28;1998.742;609.97
1998-09-25;1998.733;595.37
1998-09-24;1998.731;594.87
1998-09-23;1998.728;606.88
1998-09-22;1998.725;583.91
1998-09-21;1998.722;576.62
1998-09-18;1998.714;584.05
1998-09-17;1998.711;591.93
1998-09-16;1998.708;617.14
1998-09-15;1998.706;622.26
1998-09-14;1998.703;633.48
1998-09-11;1998.694;627.78
1998-09-10;1998.692;633.77
1998-09-09;1998.689;654.11
1998-09-08;1998.686;671.58
1998-09-07;1998.683;655.45
1998-09-04;1998.675;643.53
1998-09-03;1998.672;624.03
1998-09-02;1998.669;643.89
1998-09-01;1998.667;641.19
1998-08-31;1998.667;657.78
1998-08-28;1998.658;660.86
1998-08-27;1998.656;672.4
1998-08-26;1998.653;701.53
1998-08-25;1998.65;717.85
1998-08-24;1998.647;712.32
1998-08-21;1998.639;707.88
1998-08-20;1998.636;733.61
1998-08-19;1998.633;740.68
1998-08-18;1998.631;743.04
1998-08-17;1998.628;712.15
1998-08-14;1998.619;712.5
1998-08-13;1998.617;700.05
1998-08-12;1998.614;709.95
1998-08-11;1998.611;699.58
1998-08-10;1998.608;721.91
1998-08-07;1998.6;744.53
1998-08-06;1998.597;733.07
1998-08-05;1998.594;745.4
1998-08-04;1998.592;762.26
1998-08-03;1998.589;769.11
1998-07-31;1998.583;769.37
1998-07-30;1998.581;779.83
1998-07-29;1998.578;779.63
1998-07-28;1998.575;768.81
1998-07-27;1998.572;776.5
1998-07-24;1998.564;799.11
1998-07-23;1998.561;806.86
1998-07-22;1998.558;802.11
1998-07-21;1998.556;818.28
1998-07-20;1998.553;823.2
1998-07-17;1998.544;821.98
1998-07-16;1998.542;814.24
1998-07-15;1998.539;820.9
1998-07-14;1998.536;810.9
1998-07-13;1998.533;807.12
1998-07-10;1998.525;798.34
1998-07-09;1998.522;806.16
1998-07-08;1998.519;810.82
1998-07-07;1998.517;806.14
1998-07-06;1998.514;799.94
1998-07-03;1998.506;797.84
1998-07-02;1998.503;790.26
1998-07-01;1998.5;787.13
1998-06-30;1998.497;776.52
1998-06-29;1998.494;777.12
1998-06-26;1998.486;773.91
1998-06-25;1998.483;771.85
1998-06-24;1998.481;755.56
1998-06-23;1998.478;751.53
1998-06-22;1998.475;734.34
1998-06-18;1998.464;744.83
1998-06-17;1998.461;760.64
1998-06-16;1998.458;743.16
1998-06-15;1998.456;750.39
1998-06-12;1998.447;770.11
1998-06-11;1998.444;779.76
1998-06-10;1998.442;790.51
1998-06-09;1998.439;800.46
1998-06-08;1998.436;793.81
1998-06-05;1998.428;783.04
1998-06-04;1998.425;757.04
1998-06-03;1998.422;759.05
1998-06-02;1998.419;761.17
1998-05-29;1998.411;765.59
1998-05-28;1998.408;764.3
1998-05-27;1998.406;767.63
1998-05-26;1998.403;786.08
1998-05-25;1998.4;786.84
1998-05-22;1998.392;775.27
1998-05-20;1998.386;767.11
