Date,t,Close
2014-03-28,2014.242,1857.62
2014-03-27,2014.239,1849.04
2014-03-26,2014.236,1852.56
2014-03-25,2014.233,1865.62
2014-03-24,2014.231,1857.44
2014-03-21,2014.222,1866.52
2014-03-20,2014.219,1872.01
2014-03-19,2014.217,1860.77
2014-03-18,2014.214,1872.25
2014-03-17,2014.211,1858.83
2014-03-14,2014.203,1841.13
2014-03-13,2014.2,1846.34
2014-03-12,2014.197,1868.2
2014-03-11,2014.194,1867.63
2014-03-10,2014.192,1877.17
2014-03-07,2014.183,1878.04
2014-03-06,2014.181,1877.03
2014-03-05,2014.178,1873.81
2014-03-04,2014.175,1873.91
2014-03-03,2014.172,1845.73
2014-02-28,2014.158,1859.45
2014-02-27,2014.156,1854.29
2014-02-26,2014.153,1845.16
2014-02-25,2014.15,1845.12
2014-02-24,2014.147,1847.61
2014-02-21,2014.139,1836.25
2014-02-20,2014.136,1839.78
2014-02-19,2014.133,1828.75
2014-02-18,2014.131,1840.76
2014-02-14,2014.119,1838.63
2014-02-13,2014.117,1829.83
2014-02-12,2014.114,1819.26
2014-02-11,2014.111,1819.75
2014-02-10,2014.108,1799.84
2014-02-07,2014.1,1797.02
2014-02-06,2014.097,1773.43
2014-02-05,2014.094,1751.64
2014-02-04,2014.092,1755.2
2014-02-03,2014.089,1741.89
2014-01-31,2014.083,1782.59
2014-01-30,2014.081,1794.19
2014-01-29,2014.078,1774.2
2014-01-28,2014.075,1792.5
2014-01-27,2014.072,1781.56
2014-01-24,2014.064,1790.29
2014-01-23,2014.061,1828.46
2014-01-22,2014.058,1844.86
2014-01-21,2014.056,1843.8
2014-01-17,2014.044,1838.7
2014-01-16,2014.042,1845.89
2014-01-15,2014.039,1848.38
2014-01-14,2014.036,1838.88
2014-01-13,2014.033,1819.2
2014-01-10,2014.025,1842.37
2014-01-09,2014.022,1838.13
2014-01-08,2014.019,1837.49
2014-01-07,2014.017,1837.88
2014-01-06,2014.014,1826.77
2014-01-03,2014.006,1831.37
2014-01-02,2014.003,1831.98
2013-12-31,2014,1848.36
2013-12-30,2013.997,1841.07
2013-12-27,2013.989,1841.4
2013-12-26,2013.986,1842.02
2013-12-24,2013.981,1833.32
2013-12-23,2013.978,1827.99
2013-12-20,2013.969,1818.32
2013-12-19,2013.967,1809.6
2013-12-18,2013.964,1810.65
2013-12-17,2013.961,1781
2013-12-16,2013.958,1786.54
2013-12-13,2013.95,1775.32
2013-12-12,2013.947,1775.5
2013-12-11,2013.944,1782.22
2013-12-10,2013.942,1802.62
2013-12-09,2013.939,1808.37
2013-12-06,2013.931,1805.09
2013-12-05,2013.928,1785.03
2013-12-04,2013.925,1792.81
2013-12-03,2013.922,1795.15
2013-12-02,2013.919,1800.9
2013-11-29,2013.911,1805.81
2013-11-27,2013.906,1807.23
2013-11-26,2013.903,1802.75
2013-11-25,2013.9,1802.48
2013-11-22,2013.892,1804.76
2013-11-21,2013.889,1795.85
2013-11-20,2013.886,1781.37
2013-11-19,2013.883,1787.87
2013-11-18,2013.881,1791.53
2013-11-15,2013.872,1798.18
